en,my
There is a television in that room,ဟိုစာသင်ခန်းထဲမှာ တီဗွီ ရှိတယ်။
I cannot open my mouth because my teeth hurt,သွားနာလို့ ပါးစပ် ဟလို့မရဘူး။
I went for a walk with my dog in the park in the evening,ညနေစောင်း ခွေးနဲ့ ပန်းခြံကို လမ်းလျှောက် သွားတယ်။
Mr Tanaka was asked to do work by Mr Hayashi,မစ္စတာခိုဘာယာရှိက မစ္စတာတာနာခါကို အလုပ်လုပ်ပေးဖို့ တောင်းဆိုတယ်။
When we wake up we say good morning,မနက် အိပ်ရာထတဲ့အခါ မင်္ဂလာမနက်ခင်းပါလို့ ပြောတယ်။
I will do that work,အဲဒီအလုပ်ကို ကျွန်တော် လုပ်ပါ့မယ်။
A lot of people died,လူတွေ အများကြီး သေကုန်တယ်။
I asked the store staff for food,ဆိုင်ဝန်ထမ်းကို အစားအသောက် မှာလိုက်တယ်။
How is Japanese food,ဂျပန်ဟင်းလျာတွေကို ဘယ်လို သဘောရသလဲ။
Mr Tanaka is doing a hard job,မစ္စတာတာနာခါက ပင်ပန်းတဲ့အလုပ်တွေ လုပ်နေတယ်။
I left the house without eating this morning,ဒီမနက်က ထမင်းမစားဘဲ အိမ်က ထွက်တယ်။
I listened to a boring story from my friend,သူငယ်ချင်းဆီက စိတ်ဝင်စားစရာ မကောင်းတဲ့စကားကို ကြားရတယ်။
I cannot eat pork,ကျွန်တော် ဝက်သား မစားနိုင်ဘူး။
This bookshelf is  metre tall and  metres wide,ဒီစာအုပ်စင်က အနံ တစ်မီတာ အလျားတစ်မီတာခွဲ ရှိတယ်။
How about tea,လက်ဖက်ရည်တို့ဘာတို့ သောက်ဦးမလား။
I had two glasses of alcohol,မနေ့က အရက် နှစ်ခွက် သောက်တယ်။
I could not shop because the supermarket was closed,စူပါမားကက် ပိတ်ထားလို့ ဈေးမဝယ်ခဲ့ရဘူး။
After drinking I wash the glass clean,သောက်ထားလို့ ခွက်ကို ပြောင်အောင် ဆေးတယ်။
This flower is small and red,ဒီပန်းက သေးပြီး နီတယ်။
You are not allowed to use your mobile inside the hospital,ဆေးရုံမှာ လက်ကိုင်ဖုန်း မသုံးရဘူး။
We all sing songs together,အားလုံး အတူတူ သီချင်းဆိုမယ်။
The door to the train will shut,ရထားတံခါး ပိတ်မယ်။
I will clean my room because it is dirty,အခန်းက ညစ်ပတ်နေလို့ သန့်ရှင်းရေးလုပ်မယ်။
I eat lunch here every day,အမြဲတမ်း ဒီမှာ နေ့လယ်စာ စားတယ်။
Mr Hayashis house is around here,အဲဒီအနားတဝိုက်မှာ မစ္စတာဟယရှိရဲ့ အိမ် ရှိတယ်။
I am learning Japanese from that teacher,ကျွန်တော် အဲဒီဆရာဆီမှာ ဂျပန်စာ သင်နေတယ်။
Now lets start class,ကဲ၊ အတန်းစလိုက်ကြစို့။
We are using the computer Please do not switch it off,ကွန်ပျူတာ သုံးနေတယ်၊ ခလုတ် မပိတ်လိုက်ပါနဲ့။
Mr Tanaka is tall,မစ္စတာတာနာခါက အရပ်ရှည်တယ်။
I went to a karaoke place yesterday but I didnt sing a lot,မနေ့က ကာရာအိုကေ သွားပေမဲ့ သိပ် မဆိုဖြစ်ဘူး။
My father works from morning to evening every day,အဖေ နေ့တိုင်း မနက်ကနေ ညအထိ အလုပ်လုပ်တယ်။
I watched TV yesterday After that I studied Japanese,မနေ့က တီဗွီ ကြည့်တယ်။ ပြီးတော့ ဂျပန်စာကို လေ့လာတယ်။
Mr Lee worked abroad for a year and a half,မစ္စတာဟယရှိ နိုင်ငံခြားမှာ တစ်နှစ်ခွဲ အလုပ်လုပ်ခဲ့တယ်။
This is Mr Kobayashis favourite food,ဒါ မစ္စတာခိုဘာယာရှိရဲ့ အကြိုက်ဆုံးအစားအစာပါ။
You wrote this essay very well,ဒီစာစီစာကုံးက အရေးအသား တော်တော် ကောင်းတယ်။
I will put a book on the desk,စာရေးခုံပေါ်မှာ စာအုပ် ထားတယ်။
This restaurant is big and beautiful,ဒီစားသောက်ဆိုင်က ကြီးပြီး သန့်တယ်။
I put a vase on the table,ပန်းအိုးကို စားပွဲပေါ်မှာ ထားလိုက်တယ်။
No it is not spicy,ဟင့်အင်း၊ မစပ်ပါဘူး။
I will be absent from school because I have a fever,အဖျားရှိလို့ ဒီနေ့ ကျောင်းမသွားဘူး။
My mother likes cooking,အမေက ဟင်းချက်ဝါသနာပါတယ်။
Everyone there will be a kanji test next week,အတန်းသားတွေ၊ လာမယ့်အပတ်မှာ ခန်းဂျီးစာမေးပွဲ စစ်မယ်။
How was yesterdays film,မနေ့ကရုပ်ရှင် ဘယ်လိုနေလဲ။
It was sunny in Tokyo,တိုကျိုမှာ နေသာတယ်။
Please talk more slowly,ပိုပြီး ဖြည်းဖြည်း ပြောပေးပါ။
I watched the news on TV this morning,မနက်က တီဗွီသတင်း ကြည့်ခဲ့တယ်။
I always sleep in my bed,ကျွန်တော် အမြဲတမ်း အိပ်ရာမှာ အိပ်တယ်။
My favourite food is curry,ကျွန်တော် ကြိုက်တဲ့စားစရာက ဂျပန်ကာရီပါ။
Mr Tanaka is a very cheerful person,မစ္စတာယာမာဒါက အလွန် တက်ကြွတဲ့လူ ဖြစ်တယ်။
Many people came to the party,ပါတီပွဲကို လူတွေ အများကြီး လာကြတယ်။
I have football practice on Mondays Wednesdays and Fridays,တနင်္လာနေ့၊ ဗုဒ္ဓဟူးနေ့နဲ့ သောကြာနေ့တွေမှာ ဘောလုံးလေ့ကျင့်ရေး ရှိတယ်။
I went home with everyone,အားလုံး အတူတူ ပြန်ခဲ့တယ်။
It was troubling for me because I lost my passport while I was abroad,နိုင်ငံခြားမှာ ပတ်စပို့ ပျောက်သွားလို့ ဒုက္ခရောက်ခဲ့တယ်။
Yes what is it,ဟုတ်ကဲ့၊ ဘာပါလဲ ခင်ဗျာ။
There is a book on the desk,စာရေးခုံပေါ်မှာ စာအုပ် ရှိတယ်။
Mr Yamadas little sister is short and cute,မစ္စတာယာမာဒါရဲ့ ညီမလေးက အရပ်က ပုပုလေးနဲ့ ချစ်စရာ ကောင်းတယ်။
The map of the town is posted at that police box,ရဲကင်းမှာ မြို့ရဲ့ မြေပုံကို ချိတ်ထားတယ်။
There is a baseball game the day after tomorrow,သန်ဘက်ခါ ဘေ့စ်ဘောပြိုင်ပွဲ ရှိတယ်။
If you press here the sound will get louder,ဒီနေရာကို နှိပ်ရင် အသံကျယ်လာမယ်။
I want to live in a quiet and beautiful place,ကျွန်တော် တိတ်ဆိတ်ပြီး လှပသန့်ရှင်းတဲ့နေရာမှာ နေချင်တယ်။
It is very fun to talk with foreigners,နိုင်ငံခြားသားနဲ့ စကားပြောရတာ ပျော်ဖို့ကောင်းတယ်။
The airplane is flying south,လေယာဉ်ပျံက တောင်ဘက်ကို ပျံသွားတယ်။
I wash my hands after going to the toilet,အိမ်သာက ထွက်လာတဲ့အခါ လက်ကို ဆေးတယ်။
I will not go out on holidays if it rains,နားရက်မှာ မိုးရွာရင်တော့ အပြင်မထွက်ဘူး။
You may eat your boxed lunch in this room,ဒီအခန်းထဲမှာ ထမင်းဘူး ဖွင့်စားလည်း ရတယ်။
I lost the magazine I borrowed from Mr Matsui,မစ္စတာမဆုအိဆီက ငှားလာတဲ့ မဂ္ဂဇင်း ပျောက်သွားပြီ။
I like music,ကျွန်တော် တေးဂီတကို နှစ်သက်တယ်။
The policeman asked my name,ရဲက ကျွန်တော့်ကို နာမည် မေးတယ်။
I lit a cigarette using a match,ယမ်းမီးခြစ်ကို သုံးပြီး ဆေးလိပ်သောက်တယ်။
I forgot to turn off the lights when I went out,အပြင်ထွက်တုန်းက မီးပိတ်ဖို့ မေ့သွားတယ်။
I wash my body in the bathroom,ရေချိုးခန်းမှာ ကိုယ်လက် သန့်စင်တယ်။
It is hotter this year than last year,မနှစ်ကထက်စာရင် ဒီနှစ်က ပိုပူတယ်။
I think taking the train to school is faster than taking the bus,ကျောင်းအထိဆို ဘတ်စကားထက်စာရင် ရထားက ပိုမြန်တယ်လို့ ထင်တယ်။
How do we get to the third floor,တတိယထပ်ကို ဘယ်လို သွားရမလဲ။
The school is near that mountain,ကျောင်းက အဲဒီတောင်နားမှာ ရှိတယ်။
I lent my money to my little brother,ကျွန်တော် ညီလေးကို ပိုက်ဆံချေးလိုက်တယ်။
I will put in  grams of sugar and  grams of salt,သကြား သုံးဆယ်ဂရမ်နဲ့ ဆား ဆယ့်ငါးဂရမ် ထည့်မယ်။
I always take a shower in the evening before going to bed,ညတိုင်း ရေချိုးပြီးမှ အိပ်တယ်။
Yesterdays dinner was a meat dish,မနေ့တုန်းကညစာက အသားဟင်းနဲ့ပါ။
I will use a new plate,ပန်းကန်ပြားအသစ်ကို သုံးမယ်။
Ms Kimura is a student but Mr Tanaka is an office worker,မစ္စတာခိမုရက ကျောင်းသား ဖြစ်ပြီး မစ္စတာတာနာခါကတော့ ကုမ္ပဏီဝန်ထမ်း ဖြစ်ပါတယ်။
I could not go anywhere yesterday,မနေ့က ဘယ်မှ မထွက်ဘူး။
I bought white shoes at the department store yesterday,မနေ့က ကုန်တိုက်မှာ အဖြူရောင်ဖိနပ် ဝယ်ခဲ့တယ်။
My brother is nine years old,ကျွန်တော့်ညီလေးက ကိုးနှစ် ရှိပြီ။
The bird is flying over there,ဟိုဘက်က ကောင်းကင်မှာ ငှက်တွေ ပျံနေတယ်။
I like baseball the best of all the sports,အားကစားဆို ဘေ့စ်ဘောကို အကြိုက်ဆုံးပဲ။
Yesterdays test was very hard,မနေ့ကစာမေးပွဲက အရမ်း ခက်တယ်။
I will put up a picture on the wall,နံရံမှာ ဓာတ်ပုံ ကပ်မယ်။
Which one did Mr Hayashi buy,မစ္စတာဟယရှိဟာ ဘာကို ဝယ်ခဲ့ပါသလဲ။
I practise football on Sunday every week,အပတ်စဉ် စနေနေ့တိုင်း ဘောလုံး လေ့ကျင့်တယ်။
I will read a book written in Japanese,ဂျပန်ဘာသာနဲ့ ရေးထားတဲ့ စာအုပ်ကို ဖတ်တယ်။
This food is bad for you,ဒါ ခန္ဓာကိုယ်အတွက် မကောင်းတဲ့စားစရာ။
There is a cat under the chair,ထိုင်ခုံအောက်မှာ ကြောင် ရှိတယ်။
This room is very quiet,ဒီအခန်းက အရမ်း တိတ်ဆိတ်တဲ့ အခန်းပါ။
I want to go to a place where there are not many people,လူ သိပ်မရှိတဲ့အရပ်ကို သွားချင်တယ်။
Dont go that way because it is dangerous,အန္တရာယ်ရှိလို့ အဲဒီကို မသွားပါနဲ့။
There are two dogs over there,ဟိုမှာ ခွေး နှစ်ကောင် ရှိတယ်။
That short person is Ms Kimura,ဟို အရပ်ပုပုနဲ့လူက မစ္စတာခိမုရပါ။
I asked the police at the police box which way to go,ရဲကင်းက ရဲသားကို လမ်းမေးခဲ့တယ်။
I leave the house at  and I go to school by bus,ရှစ်နာရီမှာ အိမ်က ထွက်တယ်။ ပြီးတော့ ဘတ်စကားနဲ့ ကျောင်းကို သွားတယ်။
I go to school every day,နေ့တိုင်း ကျောင်းသွားတယ်။
I often go to the cinema and pool with my friend,သူငယ်ချင်းနဲ့ အမြဲလိုလို ရုပ်ရှင်ကြည့်လိုက် ရေကူးကန် သွားလိုက် လုပ်တယ်။
